PATH,LINK_URL,STATUS,MESSAGE
2011-05-10-process-kills-passion.md,http://radar.oreilly.com/2011/05/process-kills-developer-passion.html,🚫,timeout of 3000ms exceeded
2011-05-10-microsoft-buying-skype-for-some-reason.md,http://about.skype.com/press/2011/05/microsoft_to_acquire_skype.html,🚫,getaddrinfo ENOTFOUND about.skype.com
2011-05-10-inflate-web-type-with-fittext.md,http://fittextjs.com/,200,
2011-05-01-introducing-vico.md,http://www.vicoapp.com/,🚫,read ECONNRESET
2011-04-07-pow-zero-config-rack-serving-for-mac-os-x.md,http://pow.cx/,200,
2011-03-29-amazon-launches-clouddrive-media-storage.md,https://www.amazon.com/clouddrive/learnmore,405,Request failed with status code 405
2011-03-28-things-cloud-sync-inches-closer-to-reality.md,http://culturedcode.com/things/blog/2011/03/state-of-sync-part-iii.html,200,
2011-03-25-colors-co-founder-explains-what-color-is-all.md,http://www.businessinsider.com/exclusive-bill-nguyen-qa-2011-3?op=1,200,
2011-03-24-tweet-nest.md,http://pongsocket.com/tweetnest/,404,Request failed with status code 404
2011-03-24-thieves-adolescents-and-jobless.md,https://www.readability.com/articles/fuophyj2,🚫,"Hostname/IP does not match certificate's altnames: Host: www.readability.com. is not in the cert's altnames: DNS:shortener.secureserver.net, DNS:www.shortener.secureserver.net"
2011-03-24-digital-subscription-prices-visualized.md,http://theunderstatement.com/post/4019228737,200,
2011-03-22-not-paying-is-always-simple.md,http://daringfireball.net/2011/03/pricing_should_be_simple,200,
2011-03-17-nyt-announces-expensive-confusing-easily-avoided.md,http://www.nytimes.com/2011/03/18/opinion/l18times.html?_r=1,200,
2011-03-12-did-twitter-just-tell-client-app-developers-to.md,http://inessential.com/2011/03/11/did_twitter_just_tell_client-app_develop,200,
2011-03-09-anatomy-of-a-crushing.md,http://pinboard.in/blog/173/,404,Request failed with status code 404
2011-03-08-out-today-the-elements-of-content-strategy-from.md,http://books.alistapart.com/products/the-elements-of-content-strategy,200,
2011-02-21-readabilitys-ios-app-rejected.md,http://blog.readability.com/2011/02/an-open-letter-to-apple/,🚫,getaddrinfo ENOTFOUND blog.readability.com
2011-02-08-oktrends-on-first-date-questions.md,http://blog.okcupid.com/index.php/the-best-questions-for-first-dates/,410,Request failed with status code 410
2011-02-04-cracking-the-scratch-lottery-code.md,http://rdd.me/sxz1on28,🚫,getaddrinfo ENOTFOUND rdd.me
2011-01-25-oauth-will-murder-your-children.md,http://zachholman.com/2011/01/oauth_will_murder_your_children/,200,
2011-01-25-amazon-simple-email-service.md,http://aws.amazon.com/ses/,200,
2011-01-21-should-i-work-for-free.md,http://jhische.com/sneakpeek/workforfree.jpg,200,
